Current Step,Time Remaining,Expected Temp,External Temp,Chamber Temp,Time,,Time
0,999,0,0,0,0,,0
0,999,25,26.2,0,5,,5
0,999,25,25.8,0,21,,21
0,999,25,25.3,0,38,,38
0,999,25,25,0,54,,54
0,999,25.6,24.9,0,71,,71
0,999,27,25.6,0,87,,87
0,999,28.5,26.8,0,104,,104
0,999,30,28.6,0,120,,120
0,999,31.8,30.3,0,137,,137
0,999,33,31.8,0,153,,153
0,999,34.3,33.8,0,170,,170
0,999,36,35.8,0,186,,186
0,999,37.9,37.9,0,203,,203
0,999,39,39.9,0,219,,220
0,999,40.6,41.6,0,236,,236
0,999,42.2,43.1,0,252,,253
0,999,44,44.6,0,269,,269
0,999,45.2,45.8,0,285,,286
0,999,46.8,47.1,0,302,,302
0,999,48.4,48.4,0,318,,319
0,999,49.7,49.7,0,335,,335
0,999,51,51,0,351,,352
0,999,52.4,52.4,0,368,,369
0,999,53.8,53.8,0,385,,385
0,999,55.1,55.1,0,401,,402
0,999,56.4,56.4,0,418,,418
0,999,57.9,57.9,0,434,,435
0,999,59.4,59.4,0,451,,451
0,999,60,60.7,0,467,,468
0,999,60,61.6,0,484,,484
0,999,60,62.1,0,500,,501
0,999,60,61.7,0,517,,517
0,999,60,60.9,0,533,,534
0,999,60,59.7,0,550,,551
0,999,60,58.5,0,566,,567
0,999,60,57.7,0,583,,584
0,999,60,57.1,0,599,,600
0,999,60,57.1,0,616,,617
0,999,60,57.5,0,632,,633
0,999,60,57.9,0,649,,650
0,999,60,58.5,0,665,,666
0,999,60,59,0,682,,683
0,999,60,59.5,0,698,,699
0,999,60,59.7,0,715,,716
0,999,60,60.1,0,731,,732
0,999,60,60.2,0,748,,749
0,999,60,60.3,0,764,,766
0,999,60,60.5,0,781,,782
0,999,60,60.6,0,798,,799
0,999,60,60.8,0,814,,815
0,999,60,60.8,0,831,,832
0,999,60,60.8,0,847,,848
0,999,60,60.9,0,864,,865
0,999,60,60.9,0,880,,881
0,999,60,61,0,897,,898
0,999,60,60.9,0,913,,914
0,999,60,61,0,930,,931
0,999,60,60.9,0,946,,947
0,999,60,60.9,0,963,,964
0,999,60,60.9,0,979,,981
0,999,60,60.9,0,996,,997
0,999,60,60.9,0,1012,,1014
0,999,60,61,0,1029,,1030
0,999,60,61,0,1045,,1047
0,999,60,60.9,0,1062,,1063
0,999,60,60.9,0,1078,,1080
0,999,60,61,0,1095,,1096
0,999,60,61,0,1111,,1113
0,999,60,61,0,1128,,1129
0,999,60,60.9,0,1144,,1146
0,999,60,61,0,1161,,1162
0,999,60,61,0,1177,,1179
0,999,60,61,0,1194,,1196
0,999,60,60.9,0,1211,,1212
0,999,60,60.9,0,1227,,1229
0,999,60,60.9,0,1244,,1245
0,999,60,60.9,0,1260,,1262
0,999,60,60.9,0,1277,,1278
0,999,60,60.9,0,1293,,1295
