Current Step,Time Remaining,Expected Temp,External Temp,Chamber Temp,Time
0,999,25,0,0,0
0,999,25,28,0,5
0,999,25,25.7,0,21
0,999,25,25.3,0,38
0,999,25,25,0,54
0,999,25,25.1,0,71
0,999,26.2,25.7,0,87
0,999,27.5,26.8,0,104
0,999,29,28.4,0,120
0,999,30.5,30.4,0,137
0,999,31.8,32.2,0,153
0,999,33.2,34.1,0,170
0,999,34.8,35.9,0,186
0,999,36.3,38,0,203
0,999,37.8,39.9,0,219
0,999,39,41.5,0,236
0,999,40.5,43,0,252
0,999,42,44.3,0,269
0,999,43.3,45.6,0,285
0,999,45,46.6,0,302
0,999,45,47,0,319
0,999,45,46.8,0,335
0,999,45,46,0,352
0,999,45,44.9,0,368
0,999,45,44,0,385
0,999,45,43.2,0,401
0,999,45,43,0,418
0,999,45,43,0,434
0,999,45,43.2,0,451
0,999,45,43.8,0,467
0,999,45,44.4,0,484
0,999,45,44.9,0,500
0,999,45,45.2,0,517
0,999,45,45.4,0,533
0,999,45,45.6,0,550
0,999,45,45.7,0,566
0,999,45,45.7,0,583
0,999,45,45.8,0,600
0,999,45,45.8,0,616
0,999,45,45.8,0,633
0,999,45,46,0,649
0,999,45,45.9,0,666
0,999,45,45.9,0,682
0,999,45,46.1,0,699
0,999,45,46,0,715
0,999,45,46.1,0,732
0,999,45,46.1,0,748
0,999,45,46.1,0,765
0,999,45,46,0,781
0,999,45,46.1,0,798
0,999,45,46.1,0,815
0,999,45,46.1,0,832
0,999,45,46.1,0,848
0,999,45,46.1,0,865
0,999,45,46.1,0,881
0,999,45,46.1,0,898
0,999,45,46.1,0,914
0,999,45,46.1,0,931
0,999,45,46.1,0,947
0,999,45,46.1,0,964
0,999,45,46,0,980
0,999,45,46.1,0,997
0,999,45,46,0,1013
0,999,45,46,0,1030
0,999,45,46,0,1046
0,999,45,46,0,1063
0,999,45,46,0,1079
0,999,45,46,0,1096
0,999,45,46,0,1112
0,999,45,46,0,1129
0,999,45,46,0,1146
0,999,45,46,0,1162
0,999,45,46.2,0,1179
0,999,45,46.2,0,1195
0,999,45,46,0,1212
0,999,43.5,45.7,0,1228
0,999,41.8,45.1,0,1245
0,999,40.3,44.1,0,1261
0,999,39,42.8,0,1278
0,999,37.5,41.2,0,1294
0,999,36,39.6,0,1311
0,999,34.5,37.9,0,1327
0,999,33,36.1,0,1344
0,999,31.5,34.1,0,1360
0,999,30,32.3,0,1377
0,999,28.6,30.4,0,1393
0,999,27,28.6,0,1410
0,999,26,27.2,0,1426
0,999,24.5,25.5,0,1443
0,999,22.8,24.2,0,1460
0,999,21.5,22.7,0,1476
0,999,20,21.4,0,1493
0,999,18.5,20.1,0,1509
0,999,17,18.8,0,1526
0,999,15.2,17.7,0,1542
0,999,14,16.3,0,1559
0,999,12.2,15.1,0,1575
0,999,11,13.8,0,1592
0,999,10,12.7,0,1608
0,999,8.5,11.5,0,1625
0,999,7,10.4,0,1641
0,999,5.4,9.2,0,1658
0,999,3.8,8.2,0,1674
0,999,2.5,7.1,0,1691
0,999,1,6.1,0,1707
0,999,-0.2,4.9,0,1724
0,999,-1.8,4.1,0,1740
0,999,-3.1,3,0,1757
0,999,-4.2,2,0,1774
0,999,-5,1,0,1790
0,999,-5,0.1,0,1807
0,999,-5,-0.8,0,1823
0,999,-5,-1.7,0,1840
0,999,-5,-2.4,0,1856
0,999,-5,-2.8,0,1873
0,999,-5,-3.1,0,1889
0,999,-5,-3.4,0,1906
0,999,-5,-3.8,0,1922
0,999,-5,-4,0,1939
0,999,-5,-4.4,0,1955
0,999,-5,-4.5,0,1972
0,999,-5,-4.5,0,1988
0,999,-5,-4.5,0,2005
0,999,-5,-4.3,0,2021
0,999,-5,-4.3,0,2038
0,999,-5,-4.3,0,2054
0,999,-5,-4.2,0,2071
0,999,-5,-4.2,0,2088
0,999,-5,-4.1,0,2104
0,999,-5,-3.9,0,2121
0,999,-5,-4,0,2137
0,999,-5,-4,0,2154
0,999,-5,-3.9,0,2170
0,999,-5,-3.9,0,2187
0,999,-5,-3.8,0,2203
0,999,-5,-3.8,0,2220
0,999,-5,-3.9,0,2236
0,999,-5,-3.9,0,2253
0,999,-5,-3.7,0,2269
0,999,-5,-3.8,0,2286
0,999,-5,-3.8,0,2302
0,999,-5,-3.8,0,2319
0,999,-5,-3.8,0,2335
0,999,-5,-3.8,0,2352
0,999,-5,-3.8,0,2368
0,999,-5,-3.7,0,2385
0,999,-5,-3.8,0,2402
0,999,-5,-3.9,0,2418
0,999,-5,-4,0,2435
0,999,-5,-3.9,0,2451
0,999,-5,-3.9,0,2468
0,999,-5,-3.7,0,2484
0,999,-5,-3.6,0,2501
0,999,-5,-3.6,0,2517
0,999,-5,-3.8,0,2534
0,999,-5,-3.8,0,2550
0,999,-5,-3.7,0,2567
0,999,-5,-3.7,0,2583
0,999,-5,-3.7,0,2600
0,999,-5,-3.8,0,2616
0,999,-5,-3.6,0,2633
0,999,-5,-3.6,0,2649
0,999,-5,-3.6,0,2666
0,999,-5,-3.7,0,2683
0,999,-5,-3.5,0,2699
0,999,-5,-3.2,0,2716
0,999,-3.8,-2.2,0,2732
0,999,-2.2,-0.6,0,2749
0,999,-0.9,1.2,0,2765
0,999,0.5,3,0,2782
0,999,1.8,4.7,0,2798
0,999,3.2,6.4,0,2815
0,999,4.5,8,0,2831
0,999,6.2,9.6,0,2848
0,999,7.5,11,0,2864
0,999,9,12.5,0,2881
0,999,10.2,13.6,0,2897
0,999,11.6,14.9,0,2914
0,999,12.8,16.2,0,2930
0,999,14.2,17.4,0,2947
0,999,15.8,18.7,0,2964
0,999,17.2,19.9,0,2980
0,999,18.5,21.4,0,2997
0,999,19.8,22.6,0,3013
0,999,21.5,23.9,0,3030
0,999,22.8,25.2,0,3046
0,999,24,26.6,0,3063
0,999,25.6,28,0,3079
0,999,26.8,29.3,0,3096
0,999,28.2,30.8,0,3112
0,999,29.6,32.2,0,3129
0,999,31,33.6,0,3145
0,999,32.8,34.9,0,3162
0,999,33.8,36.3,0,3178
0,999,35,37.6,0,3195
0,999,36.5,39.1,0,3211
0,999,38,40.5,0,3228
0,999,39.5,41.8,0,3245
0,999,40.8,43.4,0,3261
0,999,42,44.7,0,3278
0,999,43.5,45.9,0,3294
0,999,45,46.7,0,3311
0,999,45,47,0,3327
0,999,45,46.6,0,3344
0,999,45,45.6,0,3360
0,999,45,44.2,0,3377
0,999,45,42.9,0,3393
0,999,45,42,0,3410
0,999,45,41.8,0,3426
0,999,45,42,0,3443
0,999,45,42.6,0,3459
0,999,45,43.5,0,3476
0,999,45,44.4,0,3492
0,999,45,45.2,0,3509
0,999,45,45.6,0,3525
0,999,45,46.1,0,3542
0,999,45,46.2,0,3559
0,999,45,46.3,0,3575
0,999,45,46.3,0,3592
0,999,45,46.2,0,3608
0,999,45,46.1,0,3625
0,999,45,46,0,3641
0,999,45,46.1,0,3658
0,999,45,46.1,0,3674
0,999,45,45.9,0,3691
0,999,45,46.1,0,3707
0,999,45,46,0,3724
0,999,45,46.1,0,3740
0,999,45,46.2,0,3757
0,999,45,46,0,3773
0,999,45,46.1,0,3790
0,999,45,46.1,0,3806
0,999,45,46.1,0,3823
0,999,45,46,0,3840
0,999,45,46,0,3856
0,999,45,46,0,3873
0,999,45,45.9,0,3889
0,999,45,46,0,3906
0,999,45,46,0,3922
0,999,45,45.9,0,3939
0,999,45,46,0,3955
0,999,45,46,0,3972
0,999,45,46,0,3988
0,999,45,46.1,0,4005
0,999,45,46.2,0,4021
0,999,45,46.1,0,4038
0,999,45,46.1,0,4054
0,999,45,46.1,0,4071
0,999,45,46.1,0,4087
0,999,45,46.1,0,4104
0,999,45,46.2,0,4120
0,999,45,46.2,0,4137
0,999,45,46.1,0,4154
0,999,45,46.1,0,4170
0,999,45,46,0,4187
0,999,45,46.1,0,4203
0,999,44.5,46,0,4220
0,999,44,45.6,0,4236
0,999,43.5,44.7,0,4253
0,999,41.8,43.5,0,4269
0,999,40.3,41.7,0,4286
0,999,39,39.9,0,4302
0,999,37.5,37.9,0,4319
0,999,36,35.9,0,4335
0,999,34.5,33.8,0,4352
0,999,33,31.8,0,4369
0,999,31.5,30,0,4385
0,999,30,28.6,0,4402
0,999,28.6,27,0,4418
0,999,27,25.8,0,4435
0,999,26,24.7,0,4451
0,999,24.5,23.4,0,4468
0,999,22.8,22.1,0,4484
0,999,21.5,20.8,0,4501
0,999,20,19.6,0,4517
0,999,18.5,18.1,0,4534
0,999,17,16.9,0,4550
0,999,15.2,15.6,0,4567
0,999,14,14.5,0,4583
0,999,12.2,13.2,0,4600
0,999,11,12.1,0,4616
0,999,10,10.9,0,4633
0,999,8.5,9.8,0,4650
0,999,7,8.5,0,4666
0,999,5.4,7.3,0,4683
0,999,3.8,6.2,0,4699
0,999,2.5,5.1,0,4716
