Current Step,Time Remaining,Expect,External Temp,Chamber Temp,Time,
0,999,25,0,0,0,0
0,999,25,25.2,0,5,0.1
0,999,25,23.5,0,21,0.4
0,999,25,23.1,0,38,0.6
0,999,25,23.3,0,54,0.9
0,999,25,23.7,0,71,1.2
0,999,25,23.8,0,87,1.5
0,999,25,24,0,104,1.7
0,999,25,23.8,0,120,2
0,999,25,24,0,137,2.3
0,999,25,23.9,0,153,2.6
0,999,25,24.1,0,170,2.8
0,999,25,24.2,0,186,3.1
0,999,25,24.3,0,203,3.4
0,999,25,24.3,0,219,3.7
0,999,25,24.2,0,236,3.9
0,999,25,24.2,0,252,4.2
0,999,25,24.3,0,269,4.5
0,999,25,24.3,0,285,4.8
0,999,26.5,24.7,0,302,5
0,999,28,25.5,0,319,5.3
0,999,29.4,27,0,335,5.6
0,999,30.8,28.3,0,352,5.9
0,999,32.1,29.7,0,368,6.1
0,999,33.4,31.3,0,385,6.4
0,999,34.9,32.7,0,401,6.7
0,999,36.2,34.2,0,418,7
0,999,37.6,35.9,0,434,7.2
0,999,39,37.2,0,451,7.5
0,999,40.3,38.7,0,467,7.8
0,999,41.7,40,0,484,8.1
0,999,43.1,41.2,0,500,8.3
0,999,44.4,42.4,0,517,8.6
0,999,45.8,43.6,0,533,8.9
0,999,47.1,44.6,0,550,9.2
0,999,48.6,45.7,0,566,9.4
0,999,50,46.8,0,583,9.7
0,999,50,47.7,0,599,10
0,999,50,48.7,0,616,10.3
0,999,50,49.3,0,632,10.5
0,999,50,49.8,0,649,10.8
0,999,50,50.1,0,666,11.1
0,999,50,50.3,0,682,11.4
0,999,50,50.3,0,699,11.7
0,999,50,50.4,0,715,11.9
0,999,50,50.4,0,732,12.2
0,999,50,50.4,0,748,12.5
0,999,50,50.3,0,765,12.8
0,999,50,50.2,0,781,13
0,999,50,50.2,0,798,13.3
0,999,50,50,0,814,13.6
0,999,50,50.1,0,831,13.9
0,999,50,49.9,0,847,14.1
0,999,50,49.8,0,864,14.4
0,999,50,49.6,0,880,14.7
0,999,50,49.6,0,897,15
0,999,50,49.6,0,913,15.2
0,999,50,49.4,0,930,15.5
0,999,50,49.3,0,946,15.8
0,999,50,49.3,0,963,16.1
0,999,50,49.3,0,979,16.3
0,999,50,49.3,0,996,16.6
0,999,50,49.3,0,1013,16.9
0,999,50,49.3,0,1029,17.2
0,999,50,49.3,0,1046,17.4
0,999,50,49.2,0,1062,17.7
0,999,50,49.1,0,1079,18
0,999,50,49.1,0,1095,18.3
0,999,50,49.2,0,1112,18.5
0,999,50,49.2,0,1128,18.8
0,999,50,49.2,0,1145,19.1
0,999,50,49.1,0,1161,19.4
0,999,50,48.8,0,1178,19.6
0,999,50,48.8,0,1194,19.9
0,999,50,49.1,0,1211,20.2
0,999,50,48.7,0,1227,20.5
0,999,50,48.8,0,1244,20.7
0,999,50,49,0,1260,21
0,999,50,48.8,0,1277,21.3
0,999,50,48.8,0,1293,21.6
0,999,50,48.7,0,1310,21.8
0,999,50,48.7,0,1327,22.1
0,999,50,48.7,0,1343,22.4
0,999,50,48.7,0,1360,22.7
0,999,50,48.8,0,1376,22.9
0,999,50,48.9,0,1393,23.2
0,999,50,49,0,1409,23.5
0,999,50,49,0,1426,23.8
0,999,50,48.9,0,1442,24
0,999,50,48.8,0,1459,24.3
0,999,50,48.7,0,1475,24.6
0,999,48.5,48.8,0,1492,24.9
0,999,46.7,47.7,0,1508,25.1
0,999,45.1,46.5,0,1525,25.4
0,999,43.7,45.7,0,1541,25.7
0,999,42.3,45.1,0,1558,26
0,999,41.1,44.5,0,1574,26.2
0,999,39.8,43.9,0,1591,26.5
0,999,38.3,43.2,0,1607,26.8
0,999,37,42.7,0,1624,27.1
0,999,35.6,42.1,0,1640,27.3
0,999,34.5,41.4,0,1657,27.6
0,999,33.2,40.8,0,1674,27.9
0,999,32,40.4,0,1690,28.2
0,999,31,39.8,0,1707,28.5
0,999,30,39.5,0,1723,28.7
0,999,29,38.9,0,1740,29
0,999,28,38.6,0,1756,29.3
0,999,27.2,38.4,0,1773,29.6
0,999,26.3,38.2,0,1789,29.8
0,999,25.4,36.7,0,1806,30.1
0,999,24.3,34.4,0,1822,30.4
0,999,23.7,32,0,1839,30.7
0,999,22.8,29.9,0,1855,30.9
0,999,22.1,27.9,0,1872,31.2
0,999,21.4,26.6,0,1888,31.5
0,999,20.7,25,0,1905,31.8
