Current Step,Time Remaining,Expected Temp,External Temp,Chamber Temp,Time
0,-2147483648,0,0,0,0
1,300,25,27.1,25.6,5
1,283,25,27,25.7,21
1,267,25,27.3,25.8,38
1,250,25,27.4,26,54
1,234,25,28.1,26.2,71
1,217,25,28.1,26.4,87
1,201,25,28,26.5,104
1,184,25,28.1,26.6,120
1,168,25,28.1,26.6,137
1,151,25,28.1,26.6,153
1,135,25,27.4,26.6,170
1,118,25,27.4,26.5,187
1,102,25,27.3,26.4,203
1,85,25,27.1,26.4,220
1,68,25,27,26.3,236
1,52,25,26.9,26.2,253
1,35,25,26.9,26.1,269
1,19,25,26.8,25.9,286
2,514,25.1,26.8,25.8,302
2,497,26.1,26.7,25.7,319
2,481,27,26.7,25.6,335
2,464,28,26.9,25.7,352
2,448,28.9,27.2,25.8,368
2,431,29.9,28.5,26.1,385
2,415,30.9,30.3,26.9,401
2,398,31.8,32,28.1,418
2,382,32.8,33.4,29.7,435
2,365,33.8,34.8,31.2,451
2,349,34.7,35.8,32.7,468
2,332,35.7,36.8,34,484
2,313,36.7,38.2,35.3,501
2,296,37.8,39.6,36.7,517
2,280,38.8,40.7,38,534
2,263,39.7,41.4,39.2,550
2,246,40.7,42.3,40.2,567
2,230,41.6,43.2,41.2,583
2,213,42.6,44.2,42.1,600
2,197,43.6,45.1,43.1,616
2,180,44.6,46.2,44.1,633
2,164,45.5,47.2,45.1,649
2,147,46.5,48.1,46.1,666
2,130,47.5,49,47.1,683
2,114,48.5,50,48.2,699
2,97,49.4,50.9,49,716
2,81,50.4,52,50,732
2,64,51.3,53,51.1,749
2,47,52.3,53.9,52.1,765
2,31,53.2,54,53,782
2,14,54.2,54.6,53.9,798
3,840,55,55.4,55,815
3,823,55,56,55.9,831
3,807,55,55.9,56.4,848
3,790,55,55.7,56.7,864
3,774,55,55.5,56.6,881
3,757,55,55.4,56.3,897
3,741,55,55.5,56.1,914
3,724,55,55.6,56.1,930
3,708,55,55.6,56,947
3,691,55,55.7,56,964
3,675,55,55.7,55.9,980
3,658,55,55.7,55.8,997
3,642,55,55.7,55.8,1013
3,625,55,55.7,55.7,1030
3,608,55,55.7,55.7,1046
3,592,55,55.8,55.6,1063
3,575,55,55.8,55.5,1079
3,559,55,55.8,55.5,1096
3,542,55,55.8,55.5,1112
3,526,55,55.8,55.5,1129
3,509,55,55.7,55.5,1145
3,493,55,55.8,55.4,1162
3,476,55,55.8,55.4,1178
3,460,55,55.8,55.3,1195
3,443,55,55.8,55.3,1212
3,427,55,55.8,55.3,1228
3,410,55,55.8,55.3,1245
3,394,55,55.8,55.3,1261
3,377,55,55.8,55.3,1278
3,360,55,55.8,55.3,1294
3,344,55,56,55.2,1311
3,327,55,55.8,55.2,1327
3,311,55,56,55.2,1344
3,294,55,55.9,55.2,1360
3,278,55,55.9,55.2,1377
3,261,55,55.8,55.2,1393
3,243,55,55.9,55.2,1410
3,227,55,55.8,55.1,1426
3,210,55,55.8,55.1,1443
3,194,55,55.8,55.1,1460
3,177,55,55.8,55.1,1476
3,161,55,56,55.1,1493
3,144,55,56,55.2,1509
3,127,55,56,55.2,1526
3,111,55,56,55.2,1542
3,94,55,56,55.2,1559
3,78,55,56,55.2,1575
3,61,55,56,55.3,1592
3,45,55,56.1,55.3,1608
3,28,55,56.2,55.2,1625
3,12,55,56.2,55.3,1641
4,1062,54.5,56.2,55.3,1658
4,1045,53.5,56.1,55.4,1674
4,1029,52.6,56.3,55.4,1691
4,1012,51.6,56,55.3,1708
4,995,50.6,55.8,55.2,1724
4,979,49.7,55.3,54.9,1741
4,962,48.7,54.6,54.4,1757
4,945,47.7,53.6,53.7,1774
4,929,46.7,52.7,52.7,1790
4,912,45.8,51.5,51.5,1807
4,895,44.8,50.2,50.1,1823
4,878,43.8,48.8,48.4,1840
4,862,42.8,47.5,46.9,1856
4,845,41.9,46.4,45.3,1873
4,828,40.9,45.4,44,1889
4,812,39.9,44.7,42.6,1906
4,795,38.9,43.9,41.6,1922
4,779,38,43.1,40.6,1939
4,762,37,42.3,39.7,1955
4,746,36.1,41.2,38.6,1972
4,729,35.1,39.8,37.5,1989
4,713,34.2,38.4,36.2,2005
4,696,33.2,36.9,34.7,2022
4,679,32.2,35.8,33.1,2038
4,662,31.2,35.1,31.8,2055
4,646,30.2,34.4,30.9,2071
4,629,29.3,33.8,30.2,2088
4,613,28.3,33,29.4,2104
4,596,27.3,31.5,28.6,2121
4,580,26.4,29.6,27.4,2137
4,563,25.4,28.4,25.9,2154
4,547,24.4,27,24.4,2170
4,530,23.5,26.6,23.3,2187
4,514,22.5,26.4,22.6,2203
4,497,21.5,25.9,22.1,2220
