Current Step,Time Remaining,Expected Temp (new),External Temp,Chamber Temp,Time,,,,,,,,,,,
0,999,0,0,0,0,0,,,,,,,,,,
0,999,25,26.5,0,5,0.08,,,,,,,,,,
0,999,25,25.9,0,21,0.35,,,,,,,,,,
0,999,25,25.7,0,38,0.63,,,,,,,,,,
0,999,25,25.3,0,54,0.9,,,,,,,,,,
0,999,26.2,25.3,0,71,1.18,,,,,,,,,,
0,999,27.3,25.9,0,88,1.47,,,,,,,,,,
0,999,28.8,27.2,0,104,1.73,,,,,,,,,,
0,999,32.1,28.7,0,121,2.02,,,,,,,,,,
0,999,31.5,30.3,0,138,2.3,,,,,,,,,,
0,999,33,31.8,0,154,2.57,,,,,,,,,,
0,999,34.4,33.4,0,171,2.85,,,,,,,,,,
0,999,35.7,35.3,0,187,3.12,,,,,,,,,,
0,999,37.1,37.3,0,204,3.4,,,,,,,,,,
0,999,38.5,39.3,0,221,3.68,,,,,,,,,,
0,999,39.9,41.1,0,237,3.95,,,,,,,,,,
0,999,41.4,43.1,0,254,4.23,,,,,,,,,,
0,999,42.8,44.7,0,270,4.5,,,,,,,,,,
0,999,44,46.3,0,287,4.78,,,,,,,,,,
0,999,45.3,47.8,0,304,5.07,,,,,,,,,,
0,999,48.4,49.3,0,320,5.33,,,,,,,,,,
0,999,50,50.5,0,337,5.62,,,,,,,,,,
0,999,50,51.8,0,354,5.9,,,,,,,,,,
0,999,50,52.5,0,370,6.17,,,,,,,,,,
0,999,50,52.5,0,387,6.45,,,,,,,,,,
0,999,50,51.9,0,403,6.72,,,,,,,,,,
0,999,50,51.2,0,420,7,,,,,,,,,,
0,999,50,50.3,0,437,7.28,,,,,,,,,,
0,999,50,49.6,0,453,7.55,,,,,,,,,,
0,999,50,49,0,470,7.83,,,,,,,,,,
0,999,50,48.7,0,486,8.1,,,,,,,,,,
0,999,50,48.7,0,503,8.38,,,,,,,,,,
0,999,50,48.8,0,520,8.67,,,,,,,,,,
0,999,50,49,0,536,8.93,,,,,,,,,,
0,999,50,49.3,0,553,9.22,,,,,,,,,,
0,999,50,49.6,0,570,9.5,,,,,,,,,,
0,999,50,49.8,0,586,9.77,,,,,,,,,,
0,999,50,50.1,0,603,10.05,,,,,,,,,,
0,999,50,50.3,0,619,10.32,,,,,,,,,,
0,999,50,50.6,0,636,10.6,,,,,,,,,,
0,999,50,50.7,0,653,10.88,,,,,,,,,,
0,999,50,50.8,0,669,11.15,,,,,,,,,,
0,999,50,51,0,686,11.43,,,,,,,,,,
0,999,50,51,0,703,11.72,,,,,,,,,,
0,999,50,51.1,0,719,11.98,,,,,,,,,,
0,999,50,51,0,736,12.27,,,,,,,,,,
0,999,50,51.1,0,752,12.53,,,,,,,,,,
0,999,50,51.1,0,769,12.82,,,,,,,,,,
0,999,50,51.1,0,786,13.1,,,,,,,,,,
0,999,50,51.2,0,802,13.37,,,,,,,,,,
0,999,50,51.2,0,819,13.65,,,,,,,,,,
0,999,50,51.1,0,835,13.92,,,,,,,,,,
0,999,50,51.1,0,852,14.2,,,,,,,,,,
0,999,50,51.1,0,869,14.48,,,,,,,,,,
0,999,50,51.2,0,885,14.75,,,,,,,,,,
0,999,50,51.2,0,902,15.03,,,,,,,,,,
0,999,50,51.1,0,919,15.32,,,,,,,,,,
0,999,50,51.2,0,935,15.58,,,,,,,,,,
0,999,50,51.2,0,952,15.87,,,,,,,,,,
0,999,50,51.2,0,968,16.13,,,,,,,,,,
0,999,50,51.2,0,985,16.42,,,,,,,,,,
0,999,50,51.2,0,1002,16.7,,,,,,,,,,
0,999,50,51.1,0,1018,16.97,,,,,,,,,,
0,999,50,51.2,0,1035,17.25,,,,,,,,,,
0,999,50,51.1,0,1051,17.52,,,,,,,,,,
0,999,50,51.1,0,1068,17.8,,,,,,,,,,
0,999,50,51.1,0,1085,18.08,,,,,,,,,,
0,999,50,51,0,1101,18.35,,,,,,,,,,
0,999,49,51.1,0,1118,18.63,,,,,,,,,,
0,999,48,51.1,0,1135,18.92,,,,,,,,,,
0,999,44.5,51.1,0,1151,19.18,,,,,,,,,,
0,999,43.3,51,0,1168,19.47,,,,,,,,,,
0,999,42,51.2,0,1184,19.73,,,,,,,,,,
0,999,41,51.2,0,1201,20.02,,,,,,,,,,
0,999,39.6,51.2,0,1218,20.3,,,,,,,,,,
0,999,38.3,51.2,0,1234,20.57,,,,,,,,,,
0,999,37,51.3,0,1251,20.85,,,,,,,,,,
0,999,35.6,51.3,0,1268,21.13,,,,,,,,,,
0,999,34,51,0,1284,21.4,,,,,,,,,,
0,999,31.4,50.4,0,1301,21.68,,,,,,,,,,
0,999,30.2,49.7,0,1317,21.95,,,,,,,,,,
0,999,29,48.6,0,1334,22.23,,,,,,,,,,
0,999,27.5,46.9,0,1351,22.52,,,,,,,,,,
0,999,25.9,44.9,0,1367,22.78,,,,,,,,,,
0,999,24.5,42.6,0,1384,23.07,,,,,,,,,,
0,999,23,40.5,0,1401,23.35,,,,,,,,,,
0,999,21.9,37.8,0,1417,23.62,,,,,,,,,,
0,999,20.5,35.9,0,1434,23.9,,,,,,,,,,
0,999,19,33.9,0,1450,24.17,,,,,,,,,,
0,999,17.5,32.4,0,1467,24.45,,,,,,,,,,
0,999,16,30.6,0,1484,24.73,,,,,,,,,,
0,999,14.3,29.5,0,1500,25,,,,,,,,,,
0,999,13.2,28.6,0,1517,25.28,,,,,,,,,,
0,999,12,27.7,0,1534,25.57,,,,,,,,,,
0,999,11,26.8,0,1550,25.83,,,,,,,,,,
0,999,9.2,25.8,0,1567,26.12,,,,,,,,,,
0,999,8,24.6,0,1584,26.4,,,,,,,,,,
0,999,7,23.1,0,1600,26.67,,,,,,,,,,
0,999,6,21.8,0,1617,26.95,,,,,,,,,,
0,999,5,20.5,0,1633,27.22,,,,,,,,,,
0,999,4,19.6,0,1650,27.5,,,,,,,,,,
0,999,3,18.6,0,1667,27.78,,,,,,,,,,
0,999,2.5,17.4,0,1683,28.05,,,,,,,,,,
0,999,2,16,0,1700,28.33,,,,,,,,,,
0,999,1.5,14.9,0,1717,28.62,,,,,,,,,,
0,999,1,13.7,0,1733,28.88,,,,,,,,,,
0,999,0.8,12.4,0,1750,29.17,,,,,,,,,,
0,999,0.6,11.3,0,1766,29.43,,,,,,,,,,
0,999,0,10,0,1783,29.72,,,,,,,,,,
0,999,-1,8.6,0,1800,30,,,,,,,,,,
0,999,-1,7.1,0,1816,30.27,,,,,,,,,,
0,999,-1,5.7,0,1833,30.55,,,,,,,,,,
0,999,-1.8,4.5,0,1850,30.83,,,,,,,,,,
0,999,-2,3.4,0,1866,31.1,,,,,,,,,,
0,999,-3,2,0,1883,31.38,,,,,,,,,,
0,999,-4,0.8,0,1899,31.65,,,,,,,,,,
0,999,-5,-0.2,0,1916,31.93,,,,,,,,,,
0,999,-6,-1.6,0,1933,32.22,,,,,,,,,,
0,999,-7,-3,0,1949,32.48,,,,,,,,,,
0,999,-7,-4.4,0,1966,32.77,,,,,,,,,,
0,999,-7,-5.8,0,1983,33.05,,,,,,,,,,
0,999,-7,-6.5,0,1999,33.32,,,,,,,,,,
0,999,-7,-6.7,0,2016,33.6,,,,,,,,,,
0,999,-7,-6.5,0,2032,33.87,,,,,,,,,,
0,999,-7,-6.5,0,2049,34.15,,,,,,,,,,
0,999,-7,-6.3,0,2066,34.43,,,,,,,,,,
0,999,-7,-6.3,0,2082,34.7,,,,,,,,,,
0,999,-7,-6.3,0,2099,34.98,,,,,,,,,,
0,999,-7,-6,0,2115,35.25,,,,,,,,,,
0,999,-7,-6.1,0,2132,35.53,,,,,,,,,,
0,999,-7,-5.9,0,2149,35.82,,,,,,,,,,
0,999,-7,-5.8,0,2165,36.08,,,,,,,,,,
0,999,-7,-5.7,0,2182,36.37,,,,,,,,,,
0,999,-7,-5.6,0,2199,36.65,,,,,,,,,,
0,999,-7,-5.5,0,2215,36.92,,,,,,,,,,
0,999,-7,-5.4,0,2232,37.2,,,,,,,,,,
0,999,-7,-5.3,0,2249,37.48,,,,,,,,,,
0,999,-7,-5.3,0,2265,37.75,,,,,,,,,,
0,999,-7,-5.5,0,2282,38.03,,,,,,,,,,
0,999,-7,-5.4,0,2298,38.3,,,,,,,,,,
0,999,-7,-5.4,0,2315,38.58,,,,,,,,,,
0,999,-7,-5.4,0,2332,38.87,,,,,,,,,,
0,999,-7,-5.3,0,2348,39.13,,,,,,,,,,
0,999,-7,-5.4,0,2365,39.42,,,,,,,,,,
0,999,-7,-5.4,0,2382,39.7,,,,,,,,,,
0,999,-7,-5.4,0,2398,39.97,,,,,,,,,,
0,999,-7,-5.3,0,2415,40.25,,,,,,,,,,
0,999,-7,-5.4,0,2431,40.52,,,,,,,,,,
0,999,-7,-5.3,0,2448,40.8,,,,,,,,,,
0,999,-7,-5.3,0,2465,41.08,,,,,,,,,,
0,999,-7,-5.3,0,2481,41.35,,,,,,,,,,
0,999,-7,-5.4,0,2498,41.63,,,,,,,,,,
0,999,-6.5,-5.4,0,2515,41.92,,,,,,,,,,
0,999,-6,-5.3,0,2531,42.18,,,,,,,,,,
0,999,-5,-5.4,0,2548,42.47,,,,,,,,,,
0,999,-3,-5.4,0,2564,42.73,,,,,,,,,,
0,999,-2,-5.4,0,2581,43.02,,,,,,,,,,
0,999,-1,-5.4,0,2598,43.3,,,,,,,,,,
0,999,0,-5.5,0,2614,43.57,,,,,,,,,,
0,999,2,-5.5,0,2631,43.85,,,,,,,,,,
0,999,3,-5.4,0,2648,44.13,,,,,,,,,,
0,999,5.5,-5.4,0,2664,44.4,,,,,,,,,,
0,999,7,-5.4,0,2681,44.68,,,,,,,,,,
0,999,8.6,-5.5,0,2698,44.97,-7,,,,,,,,,-7
0,999,10,-4.9,0,2714,45.23,-6.5,,,,,,,,,-6.5
0,999,11.3,-3.4,0,2731,45.52,-6,,,,,,,,,-6
0,999,12.5,-1.7,0,2747,45.78,-5,,,,,,,,,-5
0,999,13.5,0.1,0,2764,46.07,-3,,,,,,,,,-4
0,999,15,1.9,0,2781,46.35,-2,,,,,,,,,-3
0,999,16,3.6,0,2797,46.62,-1,,,,,,,,,-2
0,999,18,5.2,0,2814,46.9,0,,,,,,,,,-1
0,999,19.6,6.7,0,2830,47.17,2,,,,,,,,,0
0,999,20.9,8.1,0,2847,47.45,3,,,,,,,,,1
0,999,22.3,9.3,0,2864,47.73,4.5,,,,,,,,,2
0,999,23.6,10.5,0,2880,48,5.8,,,,,,,,,3
0,999,25,11.8,0,2897,48.28,7,,,,,,,,,4.5
0,999,26.2,13,0,2914,48.57,8.6,,,,,,,,,5.8
0,999,27.2,14.2,0,2930,48.83,10,,,,,,,,,7
0,999,28.5,15.4,0,2947,49.12,11.3,,,,,,,,,8.6
0,999,29.8,16.6,0,2963,49.38,12.5,,,,,,,,,10
0,999,31.6,17.6,0,2980,49.67,13.5,,,,,,,,,11.3
0,999,32.5,18.9,0,2997,49.95,15,,,,,,,,,12.5
0,999,34,20.1,0,3013,50.22,16,,,,,,,,,13.5
0,999,35.5,21.2,0,3030,50.5,18,,,,,,,,,15
0,999,36,22.5,0,3047,50.78,19.6,,,,,,,,,16
0,999,36.3,23.7,0,3063,51.05,20.6,,,,,,,,,18
0,999,37.3,24.9,0,3080,51.33,22.3,,,,,,,,,19.6
0,999,39,26.2,0,3097,51.62,23.6,,,,,,,,,20.6
0,999,40.2,27.4,0,3113,51.88,25,,,,,,,,,22.3
0,999,41.8,28.6,0,3130,52.17,26.2,,,,,,,,,23.6
0,999,43,30,0,3146,52.43,27.2,,,,,,,,,25
0,999,44.3,31.7,0,3163,52.72,28.5,,,,,,,,,26.2
0,999,45.8,33.2,0,3180,53,29.8,,,,,,,,,27.2
0,999,47.2,34.3,0,3196,53.27,31.6,,,,,,,,,28.5
0,999,48,35.2,0,3213,53.55,32.5,,,,,,,,,29.8
0,999,50,36.1,0,3230,53.83,34,,,,,,,,,31.1
0,999,50,37.4,0,3246,54.1,35.5,,,,,,,,,32
0,999,50,39.6,0,3263,54.38,37.3,,,,,,,,,33.5
0,999,50,41,0,3279,54.65,39,,,,,,,,,35
0,999,50,42.3,0,3296,54.93,40.2,,,,,,,,,36.5
0,999,50,43.5,0,3313,55.22,41.8,,,,,,,,,38.5
